Date,Trend,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4/28/2017,MAX,Technology,Health Care,Basic Materials,US Large Cap Value,US Large Cap Blend,,,,,,,,,,,BOND
3/31/2017,MAX,US Small Cap Value,US Small Cap Blend,Basic Materials,US Small Cap Growth,US Mid Cap Value,US Large Cap Value,US Mid Cap Blend,,,,,,,,,BOND
2/28/2017,MAX,US Small Cap Value,US Small Cap Blend,Basic Materials,US Small Cap Growth,US Mid Cap Value,US Large Cap Value,US Mid Cap Blend,,,,,,,,,BOND
1/31/2017,MAX,US Small Cap Value,US Small Cap Blend,Basic Materials,US Small Cap Growth,US Mid Cap Value,US Large Cap Value,US Mid Cap Blend,,,,,,,,,BOND
12/30/2016,MAX,US Small Cap Value,Technology,US Small Cap Blend,Emerging Markets Diversified,US Small Cap Growth,US Mid Cap Value,US Large Cap Value,US Mid Cap Blend,US Large Cap Blend,US Large Cap Growth,Basic Materials,US Mid Cap Growth,,,,BOND
11/30/2016,MAX,US Small Cap Value,Technology,US Small Cap Blend,Emerging Markets Diversified,US Small Cap Growth,US Mid Cap Value,US Large Cap Value,US Mid Cap Blend,US Large Cap Blend,US Large Cap Growth,Basic Materials,US Mid Cap Growth,,,,BOND
10/31/2016,MAX,US Small Cap Value,Technology,US Small Cap Blend,Emerging Markets Diversified,US Small Cap Growth,US Mid Cap Value,US Large Cap Value,US Mid Cap Blend,US Large Cap Blend,US Large Cap Growth,Basic Materials,US Mid Cap Growth,,,,BOND
9/30/2016,MAX,US Mid Cap Value,Basic Materials,Technology,Real Estate,US Small Cap Value,US Large Cap Value,US Mid Cap Blend,US Large Cap Blend,US Large Cap Growth,Health Care,US Small Cap Blend,,,,,BOND
8/31/2016,MAX,US Mid Cap Value,Basic Materials,Technology,Real Estate,US Small Cap Value,US Large Cap Value,US Mid Cap Blend,US Large Cap Blend,US Large Cap Growth,Health Care,US Small Cap Blend,,,,,BOND
7/29/2016,MAX,US Mid Cap Value,Basic Materials,Technology,Real Estate,US Small Cap Value,US Large Cap Value,US Mid Cap Blend,US Large Cap Blend,US Large Cap Growth,Health Care,US Small Cap Blend,,,,,BOND
6/30/2016,MAX,Precious Metals,US Large Cap Value,US Large Cap Blend,Real Estate,US Large Cap Growth,Technology,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,,,,,,,BOND
5/31/2016,MAX,Precious Metals,US Large Cap Value,US Large Cap Blend,Real Estate,US Large Cap Growth,Technology,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,,,,,,,BOND
4/29/2016,MAX,Precious Metals,US Large Cap Value,US Large Cap Blend,Real Estate,US Large Cap Growth,Technology,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,,,,,,,BOND
3/31/2016,MIN,Technology,US Large Cap Growth,US Small Cap Growth,US Large Cap Blend,US Small Cap Blend,Real Estate,US Small Cap Value,,,,,,,,,BOND
2/29/2016,MIN,Technology,US Large Cap Growth,US Small Cap Growth,US Large Cap Blend,US Small Cap Blend,Real Estate,US Small Cap Value,,,,,,,,,BOND
1/29/2016,MIN,Technology,US Large Cap Growth,US Small Cap Growth,US Large Cap Blend,US Small Cap Blend,Real Estate,US Small Cap Value,,,,,,,,,BOND
12/31/2015,MIN,Precious Metals,US Large Cap Growth,Real Estate,Health Care,Technology,US Mid Cap Growth,US Large Cap Blend,US Mid Cap Blend,US Mid Cap Value,,,,,,,BOND
11/30/2015,MIN,Precious Metals,US Large Cap Growth,Real Estate,Health Care,Technology,US Mid Cap Growth,US Large Cap Blend,US Mid Cap Blend,US Mid Cap Value,,,,,,,BOND
10/30/2015,MIN,Precious Metals,US Large Cap Growth,Real Estate,Health Care,Technology,US Mid Cap Growth,US Large Cap Blend,US Mid Cap Blend,US Mid Cap Value,,,,,,,BOND
9/30/2015,MAX,Health Care,Technology,US Small Cap Growth,US Large Cap Growth,US Mid Cap Growth,US Large Cap Blend,Global Developed Markets,US Mid Cap Blend,,,,,,,,BOND
8/31/2015,MAX,Health Care,Technology,US Small Cap Growth,US Large Cap Growth,US Mid Cap Growth,US Large Cap Blend,Global Developed Markets,US Mid Cap Blend,,,,,,,,BOND
7/31/2015,MAX,Health Care,Technology,US Small Cap Growth,US Large Cap Growth,US Mid Cap Growth,US Large Cap Blend,Global Developed Markets,US Mid Cap Blend,,,,,,,,BOND
6/30/2015,MAX,Health Care,Technology,US Small Cap Growth,US Mid Cap Growth,US Large Cap Growth,US Mid Cap Blend,US Small Cap Blend,US Large Cap Blend,,,,,,,,BOND
5/29/2015,MAX,Health Care,Technology,US Small Cap Growth,US Mid Cap Growth,US Large Cap Growth,US Mid Cap Blend,US Small Cap Blend,US Large Cap Blend,,,,,,,,BOND
4/30/2015,MAX,Health Care,Technology,US Small Cap Growth,US Mid Cap Growth,US Large Cap Growth,US Mid Cap Blend,US Small Cap Blend,US Large Cap Blend,,,,,,,,BOND
3/31/2015,MAX,Health Care,Real Estate,Technology,US Large Cap Growth,US Mid Cap Growth,US Large Cap Blend,US Mid Cap Blend,,,,,,,,,BOND
2/27/2015,MAX,Health Care,Real Estate,Technology,US Large Cap Growth,US Mid Cap Growth,US Large Cap Blend,US Mid Cap Blend,,,,,,,,,BOND
1/30/2015,MAX,Health Care,Real Estate,Technology,US Large Cap Growth,US Mid Cap Growth,US Large Cap Blend,US Mid Cap Blend,,,,,,,,,BOND
12/31/2014,MAX,Technology,Health Care,US Large Cap Growth,Real Estate,US Large Cap Blend,US Mid Cap Growth,US Mid Cap Blend,Emerging Markets Diversified,US Mid Cap Value,US Large Cap Value,,,,,,BOND
11/28/2014,MAX,Technology,Health Care,US Large Cap Growth,Real Estate,US Large Cap Blend,US Mid Cap Growth,US Mid Cap Blend,Emerging Markets Diversified,US Mid Cap Value,US Large Cap Value,,,,,,BOND
10/31/2014,MAX,Technology,Health Care,US Large Cap Growth,Real Estate,US Large Cap Blend,US Mid Cap Growth,US Mid Cap Blend,Emerging Markets Diversified,US Mid Cap Value,US Large Cap Value,,,,,,BOND
9/30/2014,MAX,Real Estate,Technology,Basic Materials,Health Care,US Large Cap Growth,US Mid Cap Value,US Large Cap Blend,Global Developed Markets,US Mid Cap Blend,Emerging Markets Diversified,US Mid Cap Growth,US Large Cap Value,,,,BOND
8/29/2014,MAX,Real Estate,Technology,Basic Materials,Health Care,US Large Cap Growth,US Mid Cap Value,US Large Cap Blend,Global Developed Markets,US Mid Cap Blend,Emerging Markets Diversified,US Mid Cap Growth,US Large Cap Value,,,,BOND
7/31/2014,MAX,Real Estate,Technology,Basic Materials,Health Care,US Large Cap Growth,US Mid Cap Value,US Large Cap Blend,Global Developed Markets,US Mid Cap Blend,Emerging Markets Diversified,US Mid Cap Growth,US Large Cap Value,,,,BOND
6/30/2014,MAX,Health Care,US Mid Cap Growth,Technology,US Mid Cap Blend,US Small Cap Growth,US Large Cap Growth,US Mid Cap Value,US Small Cap Blend,Real Estate,US Large Cap Blend,,,,,,BOND
5/30/2014,MAX,Health Care,US Mid Cap Growth,Technology,US Mid Cap Blend,US Small Cap Growth,US Large Cap Growth,US Mid Cap Value,US Small Cap Blend,Real Estate,US Large Cap Blend,,,,,,BOND
4/30/2014,MAX,Health Care,US Mid Cap Growth,Technology,US Mid Cap Blend,US Small Cap Growth,US Large Cap Growth,US Mid Cap Value,US Small Cap Blend,Real Estate,US Large Cap Blend,,,,,,BOND
3/31/2014,MAX,Health Care,US Small Cap Growth,US Small Cap Blend,US Small Cap Value,US Large Cap Growth,Technology,US Large Cap Blend,,,,,,,,,BOND
2/28/2014,MAX,Health Care,US Small Cap Growth,US Small Cap Blend,US Small Cap Value,US Large Cap Growth,Technology,US Large Cap Blend,,,,,,,,,BOND
1/31/2014,MAX,Health Care,US Small Cap Growth,US Small Cap Blend,US Small Cap Value,US Large Cap Growth,Technology,US Large Cap Blend,,,,,,,,,BOND
12/31/2013,MAX,US Small Cap Growth,US Mid Cap Growth,Health Care,US Small Cap Blend,US Mid Cap Blend,Precious Metals,Global Developed Markets,Technology,US Large Cap Growth,Basic Materials,US Large Cap Blend,US Mid Cap Value,,,,BOND
11/29/2013,MAX,US Small Cap Growth,US Mid Cap Growth,Health Care,US Small Cap Blend,US Mid Cap Blend,Precious Metals,Global Developed Markets,Technology,US Large Cap Growth,Basic Materials,US Large Cap Blend,US Mid Cap Value,,,,BOND
10/31/2013,MAX,US Small Cap Growth,US Mid Cap Growth,Health Care,US Small Cap Blend,US Mid Cap Blend,Precious Metals,Global Developed Markets,Technology,US Large Cap Growth,Basic Materials,US Large Cap Blend,US Mid Cap Value,,,,BOND
9/30/2013,MAX,Health Care,US Small Cap Growth,US Small Cap Blend,US Large Cap Value,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,US Small Cap Value,US Large Cap Blend,,,,,,,BOND
8/30/2013,MAX,Health Care,US Small Cap Growth,US Small Cap Blend,US Large Cap Value,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,US Small Cap Value,US Large Cap Blend,,,,,,,BOND
7/31/2013,MAX,Health Care,US Small Cap Growth,US Small Cap Blend,US Large Cap Value,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,US Small Cap Value,US Large Cap Blend,,,,,,,BOND
6/28/2013,MAX,US Mid Cap Value,Health Care,US Mid Cap Blend,US Large Cap Value,US Small Cap Value,US Small Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Large Cap Blend,Basic Materials,,,,,,BOND
5/31/2013,MAX,US Mid Cap Value,Health Care,US Mid Cap Blend,US Large Cap Value,US Small Cap Value,US Small Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Large Cap Blend,Basic Materials,,,,,,BOND
4/30/2013,MAX,US Mid Cap Value,Health Care,US Mid Cap Blend,US Large Cap Value,US Small Cap Value,US Small Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Large Cap Blend,Basic Materials,,,,,,BOND
3/28/2013,MAX,Global Developed Markets,US Mid Cap Value,Emerging Markets Diversified,US Mid Cap Blend,Health Care,US Mid Cap Growth,US Large Cap Value,US Large Cap Blend,Precious Metals,US Large Cap Growth,US Small Cap Value,,,,,BOND
2/28/2013,MAX,Global Developed Markets,US Mid Cap Value,Emerging Markets Diversified,US Mid Cap Blend,Health Care,US Mid Cap Growth,US Large Cap Value,US Large Cap Blend,Precious Metals,US Large Cap Growth,US Small Cap Value,,,,,BOND
1/31/2013,MAX,Global Developed Markets,US Mid Cap Value,Emerging Markets Diversified,US Mid Cap Blend,Health Care,US Mid Cap Growth,US Large Cap Value,US Large Cap Blend,Precious Metals,US Large Cap Growth,US Small Cap Value,,,,,BOND
12/31/2012,MAX,Technology,US Large Cap Growth,Basic Materials,Health Care,Real Estate,US Mid Cap Value,US Large Cap Blend,US Mid Cap Blend,US Small Cap Value,US Large Cap Value,US Small Cap Blend,US Mid Cap Growth,US Small Cap Growth,,,BOND
11/30/2012,MAX,Technology,US Large Cap Growth,Basic Materials,Health Care,Real Estate,US Mid Cap Value,US Large Cap Blend,US Mid Cap Blend,US Small Cap Value,US Large Cap Value,US Small Cap Blend,US Mid Cap Growth,US Small Cap Growth,,,BOND
10/31/2012,MAX,Technology,US Large Cap Growth,Basic Materials,Health Care,Real Estate,US Mid Cap Value,US Large Cap Blend,US Mid Cap Blend,US Small Cap Value,US Large Cap Value,US Small Cap Blend,US Mid Cap Growth,US Small Cap Growth,,,BOND
9/28/2012,MIN,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Precious Metals,Technology,US Mid Cap Value,,,,,,,,,BOND
8/31/2012,MIN,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Precious Metals,Technology,US Mid Cap Value,,,,,,,,,BOND
7/31/2012,MIN,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Precious Metals,Technology,US Mid Cap Value,,,,,,,,,BOND
6/29/2012,MAX,Technology,Emerging Markets Diversified,US Mid Cap Growth,Basic Materials,US Small Cap Growth,US Mid Cap Blend,Precious Metals,US Large Cap Growth,US Large Cap Value,US Large Cap Blend,US Mid Cap Value,US Small Cap Blend,,,,BOND
5/31/2012,MAX,Technology,Emerging Markets Diversified,US Mid Cap Growth,Basic Materials,US Small Cap Growth,US Mid Cap Blend,Precious Metals,US Large Cap Growth,US Large Cap Value,US Large Cap Blend,US Mid Cap Value,US Small Cap Blend,,,,BOND
4/30/2012,MAX,Technology,Emerging Markets Diversified,US Mid Cap Growth,Basic Materials,US Small Cap Growth,US Mid Cap Blend,Precious Metals,US Large Cap Growth,US Large Cap Value,US Large Cap Blend,US Mid Cap Value,US Small Cap Blend,,,,BOND
3/30/2012,MAX,Precious Metals,Basic Materials,US Large Cap Growth,Health Care,Technology,US Large Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Small Cap Blend,US Mid Cap Blend,,,,,,BOND
2/29/2012,MAX,Precious Metals,Basic Materials,US Large Cap Growth,Health Care,Technology,US Large Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Small Cap Blend,US Mid Cap Blend,,,,,,BOND
1/31/2012,MAX,Precious Metals,Basic Materials,US Large Cap Growth,Health Care,Technology,US Large Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Small Cap Blend,US Mid Cap Blend,,,,,,BOND
12/30/2011,MIN,Precious Metals,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Technology,,,,,,,,,,BOND
11/30/2011,MIN,Precious Metals,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Technology,,,,,,,,,,BOND
10/31/2011,MIN,Precious Metals,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Technology,,,,,,,,,,BOND
