Index,sigma401k
4/28/2017,0
3/31/2017,0
2/28/2017,0
1/31/2017,-0.001565833
12/30/2016,0.015503889
11/30/2016,0.046022778
10/31/2016,-0.024483889
9/30/2016,0.004775179
8/31/2016,0.001813393
7/29/2016,0.039341071
6/30/2016,0.014306667
5/31/2016,0.012936667
4/29/2016,0.000883333
3/31/2016,0.028882
2/29/2016,0.001691
1/29/2016,-0.010561
12/31/2015,-0.0059085
11/30/2015,-0.0026955
10/30/2015,0.0207145
9/30/2015,-0.03396
8/31/2015,-0.057548667
7/31/2015,0.017395333
6/30/2015,-0.012090833
5/29/2015,0.02173
4/30/2015,-0.005329167
3/31/2015,-0.004537083
2/27/2015,0.04637375
1/30/2015,-0.00766375
12/31/2014,-0.003720417
11/28/2014,0.023387083
10/31/2014,0.03027
9/30/2014,-0.0265475
8/29/2014,0.036544167
7/31/2014,-0.0154525
6/30/2014,0.029333333
5/30/2014,0.021485952
4/30/2014,-0.005914286
3/31/2014,-0.004452
2/28/2014,0.0451545
1/31/2014,-0.0183215
12/31/2013,0.018467143
11/29/2013,0.019697857
10/31/2013,0.031288571
9/30/2013,0.040343125
8/30/2013,-0.02862625
7/31/2013,0.05879375
6/28/2013,-0.01073625
5/31/2013,0.022948125
4/30/2013,0.008844375
3/28/2013,0.030206964
2/28/2013,0.005726786
1/31/2013,0.047515
12/31/2012,0.017505417
11/30/2012,0.006089722
10/31/2012,-0.018229444
9/28/2012,0.009074167
8/31/2012,0.008365
7/31/2012,0.010090833
6/29/2012,0.03434625
5/31/2012,-0.06398125
4/30/2012,-0.007703125
3/30/2012,0.016654167
2/29/2012,0.03541625
1/31/2012,0.057805833
12/30/2011,0.00518
11/30/2011,-0.0016975
10/31/2011,0.032715
9/30/2011,-0.028562857
8/31/2011,-0.008167143
7/29/2011,0.004411429
6/30/2011,-0.020503542
5/31/2011,-0.010621875
4/29/2011,0.027683542
3/31/2011,0.011510357
2/28/2011,0.041604107
1/31/2011,0.012624286
12/31/2010,0.0581075
11/30/2010,0.004259167
10/29/2010,0.034489167
9/30/2010,0.030742381
8/31/2010,-0.006435238
7/30/2010,0.025102381
6/30/2010,-0.056349375
5/28/2010,-0.064583125
4/30/2010,0.037779375
3/31/2010,0.056799167
2/26/2010,0.033859167
1/29/2010,-0.032780833
12/31/2009,0.044276607
