Date,RUA.Adjusted
9/10/1987,178.830002
9/11/1987,181.339996
9/14/1987,181.789993
9/15/1987,179.270004
9/16/1987,177.889999
9/17/1987,177.839996
9/18/1987,177.690002
9/21/1987,175.479996
9/22/1987,179.419998
9/23/1987,180.520004
9/24/1987,179.970001
9/25/1987,180.229996
9/28/1987,181.660004
9/29/1987,181.660004
9/30/1987,181.380005
10/1/1987,184.139999
10/2/1987,184.699997
10/5/1987,184.800003
10/6/1987,180.490005
10/7/1987,179.889999
10/8/1987,177.600006
10/9/1987,176.070007
10/12/1987,174.850006
10/13/1987,177.25
10/14/1987,172.699997
10/15/1987,168.990005
10/16/1987,160.679993
10/19/1987,131.039993
10/20/1987,133.529999
10/21/1987,145.330002
10/22/1987,139.610001
10/23/1987,138.949997
10/26/1987,127.379997
10/27/1987,129.580002
10/28/1987,129.330002
10/29/1987,135.570007
10/30/1987,140.320007
11/2/1987,142.25
11/3/1987,139.589996
11/4/1987,138.710007
11/5/1987,141.580002
11/6/1987,139.910004
11/9/1987,136.320007
11/10/1987,133.979996
11/11/1987,135.350006
11/12/1987,138.710007
11/13/1987,137.470001
11/16/1987,137.910004
11/17/1987,135.880005
11/18/1987,137.130005
11/19/1987,134.360001
11/20/1987,135.050003
11/23/1987,135.580002
11/24/1987,137.339996
11/25/1987,136.449997
11/27/1987,134.729996
11/30/1987,129.300003
12/1/1987,130.009995
12/2/1987,130.639999
12/3/1987,126.550003
12/4/1987,125.260002
12/7/1987,127.400002
12/8/1987,130.410004
12/9/1987,132.630005
12/10/1987,130.309998
12/11/1987,131.100006
12/14/1987,134.679993
12/15/1987,135.270004
12/16/1987,138.119995
12/17/1987,136.029999
12/18/1987,139.25
12/21/1987,139.619995
12/22/1987,139.600006
12/23/1987,141.369995
12/24/1987,140.940002
12/28/1987,137.589996
12/29/1987,137.070007
12/30/1987,138.820007
12/31/1987,138.679993
1/4/1988,143.199997
1/5/1988,144.929993
1/6/1988,145.289993
1/7/1988,146.350006
1/8/1988,137.779999
1/11/1988,139.229996
1/12/1988,138.009995
1/13/1988,138.279999
1/14/1988,138.389999
1/15/1988,141.589996
1/18/1988,141.679993
1/19/1988,140.639999
1/20/1988,137.160004
1/21/1988,137.460007
1/22/1988,139.190002
1/25/1988,141.960007
1/26/1988,140.789993
1/27/1988,140.710007
1/28/1988,142.639999
1/29/1988,144.539993
2/1/1988,143.949997
2/2/1988,144.220001
2/3/1988,142.639999
2/4/1988,142.550003
2/5/1988,142.139999
2/8/1988,141.179993
2/9/1988,142.330002
2/10/1988,144.910004
2/11/1988,144.759995
2/12/1988,145.630005
2/16/1988,146.649994
2/17/1988,146.470001
2/18/1988,145.919998
2/19/1988,147.679993
2/22/1988,149.619995
2/23/1988,149.509995
2/24/1988,149.490005
2/25/1988,148.380005
2/26/1988,148.75
2/29/1988,151.429993
3/1/1988,151.229996
3/2/1988,151.850006
3/3/1988,151.979996
3/4/1988,151.759995
3/7/1988,151.869995
3/8/1988,152.949997
3/9/1988,152.949997
3/10/1988,150.360001
3/11/1988,150.699997
