"Date","DGS10"
1962-01-02,4.06
1962-04-02,3.86
1962-07-02,4
1962-10-01,3.93
1963-01-01,3.85
1963-04-01,3.95
1963-07-01,4.01
1963-10-01,4.07
1964-01-01,4.14
1964-04-01,4.23
1964-07-01,4.15
1964-10-01,4.18
1965-01-01,4.21
1965-04-01,4.2
1965-07-01,4.2
1965-10-01,4.36
1966-01-03,4.63
1966-04-01,4.7
1966-07-01,4.99
1966-10-03,5.08
1967-01-02,4.64
1967-04-03,4.5
1967-07-03,5.22
1967-10-02,5.35
1968-01-01,5.7
1968-04-01,5.64
1968-07-01,5.62
1968-10-01,5.49
1969-01-01,6.16
1969-04-01,6.25
1969-07-01,6.75
1969-10-01,7.52
1970-01-01,7.88
1970-04-01,7.04
1970-07-01,7.64
1970-10-01,7.29
1971-01-01,6.5
1971-04-01,5.58
1971-07-01,6.69
1971-10-01,6
1972-01-03,5.94
1972-04-03,6.14
1972-07-03,6.14
1972-10-02,6.54
1973-01-01,6.41
1973-04-02,6.74
1973-07-02,7.01
1973-10-01,6.91
1974-01-01,6.9
1974-04-01,7.42
1974-07-01,7.65
1974-10-01,7.97
1975-01-01,7.4
1975-04-01,8.08
1975-07-01,7.97
1975-10-01,8.47
1976-01-01,7.76
1976-04-01,7.68
1976-07-01,7.88
1976-10-01,7.49
1977-01-03,6.84
1977-04-01,7.43
1977-07-01,7.34
1977-10-03,7.41
1978-01-02,7.78
1978-04-03,8.13
1978-07-03,8.59
1978-10-02,8.58
1979-01-01,9.15
1979-04-02,9.11
1979-07-02,8.76
1979-10-01,9.51
1980-01-01,10.33
1980-04-01,12.69
1980-07-01,10.13
1980-10-01,11.78
1981-01-01,12.43
1981-04-01,13.14
1981-07-01,14.04
1981-10-01,15.75
1982-01-01,13.98
1982-04-01,14.1
1982-07-01,14.4
1982-10-01,11.51
1983-01-03,10.32
1983-04-01,10.62
1983-07-01,10.93
1983-10-03,11.47
1984-01-02,11.82
1984-04-02,12.56
1984-07-02,13.87
1984-10-01,12.54
1985-01-01,11.55
1985-04-01,11.66
1985-07-01,10.19
1985-10-01,10.29
1986-01-01,9
1986-04-01,7.37
1986-07-01,7.37
1986-10-01,7.41
1987-01-01,7.23
1987-04-01,7.59
1987-07-01,8.36
1987-10-01,9.66
1988-01-01,8.83
1988-04-01,8.57
1988-07-01,8.77
1988-10-03,8.84
1989-01-02,9.14
1989-04-03,9.21
1989-07-03,8.09
1989-10-02,8.28
1990-01-01,7.93
1990-04-02,8.65
1990-07-02,8.43
1990-10-01,8.71
1991-01-01,8.08
1991-04-01,8.07
1991-07-01,8.26
1991-10-01,7.45
1992-01-01,6.71
1992-04-01,7.46
1992-07-01,7.1
1992-10-01,6.23
1993-01-01,6.7
1993-04-01,6.06
1993-07-01,5.8
1993-10-01,5.34
1994-01-03,5.92
1994-04-01,6.77
1994-07-01,7.34
1994-10-03,7.66
1995-01-02,7.84
1995-04-03,7.14
1995-07-03,6.21
1995-10-02,6.15
1996-01-01,5.58
1996-04-01,6.31
1996-07-01,6.74
1996-10-01,6.65
1997-01-01,6.43
1997-04-01,6.9
1997-07-01,6.45
1997-10-01,6.04
1998-01-01,5.75
1998-04-01,5.62
1998-07-01,5.44
1998-10-01,4.33
1999-01-01,4.65
1999-04-01,5.27
1999-07-01,5.85
1999-10-01,6
2000-01-03,6.58
2000-04-03,6
2000-07-03,6
2000-10-02,5.83
2001-01-01,5.12
2001-04-02,4.98
2001-07-02,5.37
2001-10-01,4.55
2002-01-01,5.07
2002-04-01,5.44
2002-07-01,4.85
2002-10-01,3.72
2003-01-01,3.83
2003-04-01,3.84
2003-07-01,3.56
2003-10-01,3.96
2004-01-01,4.27
2004-04-01,3.91
2004-07-01,4.57
2004-10-01,4.21
2005-01-03,4.23
2005-04-01,4.46
2005-07-01,4.06
2005-10-03,4.39
2006-01-02,4.39
2006-04-03,4.88
2006-07-03,5.15
2006-10-02,4.62
2007-01-01,4.71
2007-04-02,4.65
2007-07-02,5
2007-10-01,4.56
2008-01-01,4.04
2008-04-01,3.57
2008-07-01,4.01
2008-10-01,3.77
2009-01-01,2.25
2009-04-01,2.68
2009-07-01,3.55
2009-10-01,3.21
2010-01-01,3.85
2010-04-01,3.89
2010-07-01,2.96
2010-10-01,2.54
2011-01-03,3.36
2011-04-01,3.46
2011-07-01,3.22
2011-10-03,1.8
2012-01-02,1.89
2012-04-02,2.22
2012-07-02,1.61
2012-10-01,1.64
2013-01-01,1.78
2013-04-01,1.86
2013-07-01,2.5
2013-10-01,2.66
2014-01-01,3.04
2014-04-01,2.77
2014-07-01,2.58
2014-10-01,2.42
2015-01-01,2.17
2015-04-01,1.87
2015-07-01,2.43
2015-10-01,2.05
2016-01-01,2.27
2016-04-01,1.79
2016-07-01,1.46
2016-10-03,1.63
2017-01-02,2.45
2017-04-03,2.35
2017-07-03,2.35
