Date,sigma401k Aggressive ,Aggressive Buy and Hold 
1/2/1962,-0.034,-0.034
2/1/1962,0.016,0.016
3/1/1962,-0.004,-0.004
4/2/1962,-0.055,-0.055
5/1/1962,-0.077,-0.077
6/1/1962,-0.074,-0.074
7/2/1962,0.020,0.057
8/1/1962,0.011,0.015
9/4/1962,-0.010,-0.043
10/1/1962,0.004,0.004
11/1/1962,0.032,0.092
12/3/1962,0.011,0.013
1/2/1963,0.044,0.044
2/1/1963,-0.026,-0.026
3/1/1963,0.032,0.032
4/1/1963,0.044,0.044
5/1/1963,0.013,0.013
6/3/1963,-0.018,-0.018
7/1/1963,-0.003,-0.003
8/1/1963,0.044,0.044
9/3/1963,-0.010,-0.010
10/1/1963,0.029,0.029
11/1/1963,-0.009,-0.009
12/2/1963,0.022,0.022
1/2/1964,0.024,0.024
2/3/1964,0.009,0.009
3/2/1964,0.014,0.014
4/1/1964,0.006,0.006
5/1/1964,0.011,0.011
6/1/1964,0.015,0.015
7/1/1964,0.016,0.016
8/3/1964,-0.014,-0.014
9/1/1964,0.026,0.026
10/1/1964,0.008,0.008
11/2/1964,-0.005,-0.005
12/1/1964,0.004,0.004
1/4/1965,0.030,0.030
2/1/1965,-0.001,-0.001
3/1/1965,-0.013,-0.013
4/1/1965,0.031,0.031
5/3/1965,-0.007,-0.007
6/1/1965,-0.043,-0.043
7/1/1965,0.005,0.012
8/2/1965,0.006,0.020
9/1/1965,0.008,0.029
10/1/1965,0.024,0.024
11/1/1965,-0.008,-0.008
12/1/1965,0.008,0.008
1/3/1966,0.004,0.004
2/1/1966,-0.018,-0.018
3/1/1966,-0.017,-0.017
4/1/1966,0.003,0.018
5/2/1966,-0.013,-0.048
6/1/1966,-0.013,-0.016
7/1/1966,-0.004,-0.012
8/1/1966,-0.034,-0.072
9/1/1966,0.013,-0.004
10/3/1966,0.022,0.044
11/1/1966,-0.002,0.002
12/1/1966,0.028,0.003
1/3/1967,0.072,0.072
2/1/1967,0.001,0.001
3/1/1967,0.037,0.037
4/3/1967,0.036,0.036
5/1/1967,-0.047,-0.047
6/1/1967,0.013,0.013
7/3/1967,0.019,0.042
8/1/1967,-0.004,-0.011
9/1/1967,0.007,0.029
10/2/1967,-0.034,-0.034
11/1/1967,0.007,0.007
12/1/1967,0.025,0.025
1/2/1968,-0.038,-0.038
2/1/1968,-0.027,-0.027
3/1/1968,0.008,0.008
4/1/1968,0.023,0.072
5/1/1968,0.004,0.011
6/3/1968,0.015,0.010
7/1/1968,-0.014,-0.014
8/1/1968,0.010,0.010
9/3/1968,0.035,0.035
10/1/1968,0.006,0.006
11/1/1968,0.042,0.042
12/2/1968,-0.039,-0.039
1/2/1969,-0.007,-0.007
2/3/1969,-0.042,-0.042
3/3/1969,0.031,0.031
4/1/1969,0.010,0.020
5/1/1969,-0.013,-0.004
6/2/1969,-0.023,-0.051
7/1/1969,-0.010,-0.053
8/1/1969,0.007,0.035
9/2/1969,-0.037,-0.027
10/1/1969,0.044,0.044
11/3/1969,-0.033,-0.033
12/1/1969,-0.020,-0.020
1/2/1970,-0.007,-0.067
2/2/1970,0.055,0.053
3/2/1970,0.000,0.001
4/1/1970,-0.062,-0.086
5/1/1970,-0.013,-0.054
6/1/1970,-0.001,-0.043
7/1/1970,0.039,0.068
8/3/1970,0.014,0.040
9/1/1970,0.023,0.033
10/1/1970,-0.010,-0.010
11/2/1970,0.049,0.049
12/1/1970,0.052,0.052
1/4/1971,0.040,0.040
2/1/1971,0.008,0.008
3/1/1971,0.038,0.038
4/1/1971,0.029,0.029
5/3/1971,-0.038,-0.038
6/1/1971,-0.010,-0.010
7/1/1971,-0.014,-0.029
8/2/1971,0.048,0.038
9/1/1971,0.013,-0.004
10/1/1971,-0.036,-0.036
11/1/1971,-0.003,-0.003
12/1/1971,0.078,0.078
1/3/1972,0.016,0.016
2/1/1972,0.024,0.024
3/1/1972,0.005,0.005
4/3/1972,0.004,0.004
5/1/1972,0.017,0.017
6/1/1972,-0.020,-0.020
7/3/1972,0.003,0.003
8/1/1972,0.029,0.029
9/1/1972,-0.005,-0.005
10/2/1972,0.010,0.010
11/1/1972,0.042,0.042
12/1/1972,0.010,0.010
1/2/1973,-0.016,-0.016
2/1/1973,-0.034,-0.034
3/1/1973,-0.001,-0.001
4/2/1973,-0.007,-0.036
5/1/1973,-0.014,-0.018
6/1/1973,0.000,-0.006
7/2/1973,-0.011,0.031
8/1/1973,0.008,-0.030
9/4/1973,0.033,0.039
10/1/1973,0.014,0.001
11/1/1973,-0.029,-0.102
12/3/1973,-0.002,0.014
1/2/1974,-0.004,-0.009
2/1/1974,-0.001,-0.003
3/1/1974,-0.020,-0.023
4/1/1974,-0.036,-0.036
5/1/1974,-0.029,-0.029
6/3/1974,-0.013,-0.013
7/1/1974,-0.032,-0.071
8/1/1974,-0.032,-0.082
9/3/1974,-0.024,-0.106
10/1/1974,0.062,0.149
11/1/1974,-0.007,-0.047
12/2/1974,0.014,-0.015
1/2/1975,0.037,0.110
2/3/1975,0.022,0.054
3/3/1975,-0.017,0.016
4/1/1975,0.042,0.042
5/1/1975,0.042,0.042
6/2/1975,0.041,0.041
7/1/1975,-0.062,-0.062
8/1/1975,-0.018,-0.018
9/2/1975,-0.032,-0.032
10/1/1975,0.047,0.060
11/3/1975,0.005,0.022
12/1/1975,0.019,-0.007
1/2/1976,0.107,0.107
2/2/1976,-0.010,-0.010
3/1/1976,0.030,0.030
4/1/1976,-0.009,-0.009
5/3/1976,-0.014,-0.014
6/1/1976,0.038,0.038
7/1/1976,-0.006,-0.006
8/2/1976,-0.002,-0.002
9/1/1976,0.022,0.022
10/1/1976,-0.019,-0.019
11/1/1976,-0.003,-0.003
12/1/1976,0.049,0.049
1/3/1977,-0.049,-0.049
2/1/1977,-0.019,-0.019
3/1/1977,-0.012,-0.012
4/1/1977,0.003,0.001
5/2/1977,0.001,-0.020
6/1/1977,0.020,0.042
7/1/1977,-0.005,-0.015
8/1/1977,0.004,-0.017
9/1/1977,-0.002,-0.002
10/3/1977,-0.019,-0.040
11/1/1977,0.015,0.025
12/1/1977,-0.004,0.002
1/3/1978,-0.023,-0.056
2/1/1978,-0.007,-0.022
3/1/1978,0.008,0.023
4/3/1978,0.025,0.077
5/1/1978,-0.002,0.003
6/1/1978,-0.009,-0.016
7/3/1978,0.050,0.050
8/1/1978,0.025,0.025
9/1/1978,-0.007,-0.007
10/2/1978,-0.082,-0.082
11/1/1978,0.015,0.015
12/1/1978,0.012,0.012
1/2/1979,0.027,0.038
2/1/1979,-0.016,-0.034
3/1/1979,0.025,0.051
