Date,quarter_trend,return
1961-01-03,NA,0.0632
1961-02-01,NA,0.0269
1961-03-01,NA,0.0255
1961-04-03,MAX,0.0038
1961-05-01,MAX,0.0191
1961-06-01,MAX,-0.0288
1961-07-03,MAX,0.0328
1961-08-01,MAX,0.0196
1961-09-01,MAX,-0.0197
1961-10-02,MAX,0.0283
1961-11-01,MAX,0.0393
1961-12-01,MAX,0.0032
1962-01-02,MAX,-0.0379
1962-02-01,MAX,0.0163
1962-03-01,MAX,-0.0059
1962-04-02,MAX,-0.062
1962-05-01,MAX,-0.086
1962-06-01,MAX,-0.0818
1962-07-02,MIN,0.0636
1962-08-01,MIN,0.0153
1962-09-04,MIN,-0.0482
1962-10-01,MIN,0.0044
1962-11-01,MIN,0.1016
1962-12-03,MIN,0.0135
1963-01-02,MAX,0.0491
1963-02-01,MAX,-0.0289
1963-03-01,MAX,0.0355
1963-04-01,MAX,0.0485
1963-05-01,MAX,0.0143
1963-06-03,MAX,-0.0202
1963-07-01,MAX,-0.0035
1963-08-01,MAX,0.0487
1963-09-03,MAX,-0.011
1963-10-01,MAX,0.0322
1963-11-01,MAX,-0.0105
1963-12-02,MAX,0.0244
1964-01-02,MAX,0.0269
1964-02-03,MAX,0.0099
1964-03-02,MAX,0.0152
1964-04-01,MAX,0.0061
1964-05-01,MAX,0.0115
1964-06-01,MAX,0.0164
1964-07-01,MAX,0.0182
1964-08-03,MAX,-0.0162
1964-09-01,MAX,0.0287
1964-10-01,MAX,0.0081
1964-11-02,MAX,-0.0052
1964-12-01,MAX,0.0039
1965-01-04,MAX,0.0332
1965-02-01,MAX,-0.0015
1965-03-01,MAX,-0.0145
1965-04-01,MAX,0.0342
1965-05-03,MAX,-0.0077
1965-06-01,MAX,-0.0486
1965-07-01,MIN,0.0134
1965-08-02,MIN,0.0225
1965-09-01,MIN,0.032
1965-10-01,MAX,0.0273
1965-11-01,MAX,-0.0088
1965-12-01,MAX,0.009
1966-01-03,MAX,0.0049
1966-02-01,MAX,-0.0179
1966-03-01,MAX,-0.0218
1966-04-01,MIN,0.0205
1966-05-02,MIN,-0.0541
1966-06-01,MIN,-0.0161
1966-07-01,MIN,-0.0135
1966-08-01,MIN,-0.0778
1966-09-01,MIN,-0.007
1966-10-03,MIN,0.0475
1966-11-01,MIN,0.0031
1966-12-01,MIN,-0.0015
1967-01-03,MAX,0.0782
1967-02-01,MAX,0.002
1967-03-01,MAX,0.0394
1967-04-03,MAX,0.0422
1967-05-01,MAX,-0.0524
1967-06-01,MAX,0.0175
1967-07-03,MIN,0.0453
1967-08-01,MIN,-0.0117
1967-09-01,MIN,0.0328
1967-10-02,MAX,-0.0353
1967-11-01,MAX,0.0075
1967-12-01,MAX,0.0263
1968-01-02,MAX,-0.0438
1968-02-01,MAX,-0.0312
1968-03-01,MAX,0.0094
1968-04-01,MIN,0.0805
1968-05-01,MIN,0.0125
1968-06-03,MIN,0.0091
1968-07-01,MAX,-0.0185
1968-08-01,MAX,0.0115
1968-09-03,MAX,0.0385
1968-10-01,MAX,0.0072
1968-11-01,MAX,0.048
1968-12-02,MAX,-0.0416
1969-01-02,MAX,-0.0082
1969-02-03,MAX,-0.0474
1969-03-03,MAX,0.0344
1969-04-01,MIN,0.0215
1969-05-01,MIN,-0.0022
1969-06-02,MIN,-0.0556
1969-07-01,MIN,-0.0602
1969-08-01,MIN,0.0401
1969-09-02,MIN,-0.025
1969-10-01,MAX,0.043
1969-11-03,MAX,-0.0341
1969-12-01,MAX,-0.0187
1970-01-02,MIN,-0.0765
1970-02-02,MIN,0.0527
1970-03-02,MIN,0.0015
1970-04-01,MIN,-0.0905
1970-05-01,MIN,-0.061
1970-06-01,MIN,-0.05
1970-07-01,MIN,0.0733
1970-08-03,MIN,0.0445
